Rank,Player,Country,Career Span,Matches,Balls,Runs,Wickets,Average,index_country
1,M Muralidaran,SL,18,350,18811,12326,534,23.08,0
4,WPUJC Vaas,SL,14,322,15775,11014,400,27.53,0
9,SL Malinga,SL,15,226,10936,9760,338,28.87,0
11,ST Jayasuriya,SL,22,445,14874,11871,323,36.75,0
40,KMDN Kulasekara,SL,14,184,8263,6751,199,33.92,0
49,CRD Fernando,SL,11,147,6507,5648,187,30.2,0
56,NLTC Perera,SL,12,166,5900,5740,175,32.8,0
76,BAW Mendis,SL,7,87,4154,3324,152,21.86,0
78,UDU Chandana,SL,13,147,6142,4818,151,31.9,0
2,Wasim Akram,PAK,19,356,18186,11812,502,23.52,1
3,Waqar Younis,PAK,14,262,12698,9919,416,23.84,1
5,Shahid Afridi,PAK,19,398,17670,13632,395,34.51,1
15,Saqlain Mushtaq,PAK,8,169,8770,6275,288,21.78,1
23,Abdul Razzaq,PAK,15,265,10941,8564,269,31.83,1
27,Shoaib Akhtar,PAK,13,163,7764,6169,247,24.97,1
51,Saeed Ajmal,PAK,7,113,6000,4182,184,22.72,1
52,Imran Khan,PAK,18,175,7461,4844,182,26.61,1
53,Aaqib Javed,PAK,10,163,8012,5721,182,31.43,1
54,Umar Gul,PAK,13,130,6064,5253,179,29.34,1
65,Mushtaq Ahmed,PAK,14,144,7543,5361,161,33.29,1
68,Shoaib Malik,PAK,20,287,7958,6192,158,39.18,1
6,SM Pollock,SA,12,303,15712,9631,393,24.5,5
19,JH Kallis,SA,18,328,10750,8680,273,31.79,5
20,AA Donald,SA,12,164,8561,5926,272,21.78,5
25,M Ntini,SA,11,173,8687,6559,266,24.65,5
42,DW Steyn,SA,14,125,6256,5087,196,25.95,5
46,L Klusener,SA,8,171,7336,5751,192,29.95,5
48,M Morkel,SA,11,117,5760,4761,188,25.32,5
58,Imran Tahir,SA,8,107,5541,4297,173,24.83,5
7,GD McGrath,AUS,14,250,12970,8391,381,22.02,6
8,B Lee,AUS,12,221,11185,8877,380,23.36,6
14,SK Warne,AUS,12,194,10642,7541,293,25.73,6
29,MG Johnson,AUS,10,153,7489,6038,239,25.26,6
35,MA Starc,AUS,12,104,5342,4518,203,22.25,6
36,CJ McDermott,AUS,11,138,7461,5018,203,24.71,6
44,SR Waugh,AUS,16,325,8883,6761,195,34.67,6
57,NW Bracken,AUS,8,116,5759,4240,174,24.36,6
62,SR Watson,AUS,13,190,6466,5342,168,31.79,6
72,GB Hogg,AUS,12,123,5564,4188,156,26.84,6
10,A Kumble,INDIA,17,271,14496,10412,337,30.89,9
12,J Srinath,INDIA,12,229,11935,8847,315,28.08,9
16,AB Agarkar,INDIA,9,191,9484,8021,288,27.85,9
18,Z Khan,INDIA,12,200,10097,8301,282,29.43,9
24,Harbhajan Singh,INDIA,17,236,12479,8973,269,33.35,9
26,N Kapil Dev,INDIA,16,225,11202,6945,253,27.45,9
43,BKV Prasad,INDIA,7,161,8129,6332,196,32.3,9
47,RA Jadeja,INDIA,13,171,8611,7062,189,37.36,9
60,IK Pathan,INDIA,8,120,5855,5142,173,29.72,9
70,M Prabhakar,INDIA,12,130,6360,4534,157,28.87,9
71,A Nehra,INDIA,10,120,5751,4981,157,31.72,9
74,SR Tendulkar,INDIA,23,463,8054,6850,154,44.48,9
77,Mohammed Shami,INDIA,9,82,4188,3910,152,25.72,9
79,R Ashwin,INDIA,12,113,6141,5058,151,33.49,9
13,DL Vettori,NZ,18,295,14060,9674,305,31.71,12
28,KD Mills,NZ,14,170,8230,6485,240,27.02,12
37,CZ Harris,NZ,14,250,10667,7613,203,37.5,12
38,CL Cairns,NZ,15,215,8168,6594,201,32.8,12
41,TG Southee,NZ,14,147,7417,6705,198,33.86,12
50,TA Boult,NZ,10,98,5393,4459,185,24.1,12
59,JDP Oram,NZ,11,160,6911,5047,173,29.17,12
67,RJ Hadlee,NZ,17,115,6182,3407,158,21.56,12
17,Shakib Al Hasan,BAN,16,221,11351,8401,285,29.47,16
21,Mashrafe Mortaza,BAN,19,220,10922,8893,270,32.93,16
34,Abdur Razzak,BAN,10,153,7965,6065,207,29.29,16
22,JM Anderson,ENG,13,194,9584,7861,269,29.22,21
31,D Gough,ENG,12,159,8470,6209,235,26.42,21
55,SCJ Broad,ENG,10,121,6109,5364,178,30.13,21
61,A Flintoff,ENG,10,141,5624,4121,169,24.38,21
64,AU Rashid,ENG,13,118,5879,5529,166,33.3,21
73,CR Woakes,ENG,10,106,5016,4567,155,29.46,21
30,HH Streak,ZIM,12,189,9468,7129,239,29.82,29
32,CA Walsh,WI,15,205,10822,6918,227,30.47,31
33,CEL Ambrose,WI,12,176,9353,5429,225,24.12,31
39,DJ Bravo,WI,10,164,6511,5874,199,29.51,31
45,CL Hooper,WI,16,227,9573,6958,193,36.05,31
63,CH Gayle,WI,20,301,7424,5926,167,35.48,31
69,MD Marshall,WI,12,136,7175,4233,157,26.96,31
75,JO Holder,WI,9,131,6043,5555,153,36.3,31
66,Rashid Khan,AFG,7,83,4241,2947,158,18.65,65
